year,running_total
1949,5
1950,11
1953,15
1954,29
1955,57
1956,70
1957,90
1958,136
1959,140
1960,143
1961,165
1962,206
1963,226
1964,244
1965,256
1966,367
1967,395
1968,434
1969,513
1970,548
1971,597
1972,636
1973,706
1974,745
1975,784
1976,859
1977,957
1978,1035
1979,1127
1980,1228
1981,1312
1982,1394
1983,1466
1984,1561
1985,1725
1986,1879
1987,2110
1988,2189
1989,2323
1990,2426
1991,2571
1992,2705
1993,2841
1994,3004
1995,3175
1996,3371
1997,3617
1998,3995
1999,4333
2000,4696
2001,5102
2002,5608
2003,6070
2004,6504
2005,6892
2006,7219
2007,7551
2008,7905
2009,8364
2010,8822
2011,9363
2012,9996
2013,10658
2014,11413
2015,12155
2016,12867
2017,13608
2018,14362
2019,14932
